order_id,customer_id,store_id,item,size,timestamp,amount,coupon_applied,satisfaction_rating
50001,1310,2020,Mocha,M,06-08-2025 00:40,414,NO,4
50002,1085,2014,Hot Cocoa,L,27-08-2025 14:06,179,NO,1
50003,1054,2020,Sandwich,L,04-11-2025 10:33,251,YES,2
50004,1145,2042,Cold Coffee,S,18-06-2025 21:30,188,YES,3
50005,1097,2142,Cappuccino,L,12-06-2025 11:56,203,NO,1
50006,1292,2145,Tea,L,06-11-2025 15:49,327,YES,1
50007,1162,2024,Espresso,S,14-08-2025 11:12,464,NO,4
50008,1257,2050,Latte,M,25-10-2025 03:03,262,YES,1
50009,1170,2105,Latte,L,25-06-2025 19:48,337,YES,1
50010,1301,2098,Hot Cocoa,L,21-11-2025 22:03,99,NO,2
50011,1078,2175,Mocha,S,25-11-2025 02:26,400,YES,2
50012,1453,2056,Muffin,L,03-07-2025 13:33,473,YES,5
50013,1265,2187,Mocha,L,15-09-2025 19:47,473,NO,4
50014,1403,2034,Mocha,M,15-08-2025 04:17,399,NO,1
50015,1457,2183,Tea,S,16-07-2025 18:16,392,YES,2
50016,1291,2161,Tea,S,09-11-2025 11:23,87,YES,3
50017,1281,2023,Espresso,S,02-09-2025 12:39,240,YES,3
50018,1083,2018,Espresso,L,15-08-2025 18:19,260,YES,1
50019,1092,2182,Hot Cocoa,M,06-09-2025 02:39,211,NO,2
50020,1482,2032,Muffin,S,15-08-2025 19:00,226,NO,4
50021,1439,2159,Americano,M,16-08-2025 10:11,342,NO,3
50022,1043,2175,Mocha,L,01-09-2025 14:40,214,YES,5
50023,1330,2015,Hot Cocoa,S,20-10-2025 02:08,500,YES,2
50024,1437,2027,Sandwich,M,06-07-2025 22:23,371,NO,1
50025,1115,2100,Mocha,L,24-06-2025 08:51,258,NO,4
50026,1329,2137,Mocha,S,22-06-2025 21:03,172,YES,4
50027,1394,2111,Tea,M,09-08-2025 01:02,113,NO,3
50028,1310,2125,Mocha,L,28-10-2025 03:44,323,YES,3
50029,1233,2010,Muffin,S,05-09-2025 11:18,154,YES,3
50030,1291,2009,Sandwich,M,18-06-2025 07:54,493,NO,4
50031,1243,2055,Muffin,S,21-11-2025 18:22,91,NO,3
50032,1130,2163,Sandwich,S,03-07-2025 17:38,115,NO,4
50033,1042,2077,Latte,M,22-11-2025 09:36,294,YES,3
50034,1095,2014,Mocha,M,11-08-2025 15:01,465,NO,2
50035,1102,2090,Tea,M,06-09-2025 13:05,354,YES,4
50036,1182,2178,Cappuccino,S,23-09-2025 03:07,480,YES,1
50037,1371,2171,Cold Coffee,L,04-07-2025 07:03,245,NO,1
50038,1078,2118,Cappuccino,M,21-11-2025 01:02,242,YES,4
50039,1135,2134,Mocha,S,01-09-2025 16:51,144,NO,5
50040,1050,2010,Sandwich,L,12-07-2025 15:38,295,YES,5
50041,1194,2056,Americano,S,13-07-2025 07:57,427,YES,3
