event_id,customer_id,lat,lon,detected_store_id,distance_meters,weather,timestamp
90001,1448,18.55863,73.815702,2177,980,Rainy,01-12-2025 09:05
90002,1248,18.529973,73.910798,2161,339,Cold,01-12-2025 10:48
90003,1236,18.526333,73.80516,2121,130,Cold,02-12-2025 02:50
90004,1366,18.50096,73.874427,2198,80,Hot,02-12-2025 22:36
90005,1472,18.488223,73.798009,2155,791,Clear,02-12-2025 05:23
90006,1499,18.56128,73.898245,2123,24,Clear,01-12-2025 05:16
90007,1398,18.537241,73.855943,2179,219,Rainy,02-12-2025 19:43
90008,1242,18.526021,73.792667,2068,866,Clear,02-12-2025 17:41
90009,1280,18.587663,73.793104,2138,593,Clear,02-12-2025 02:54
90010,1070,18.562861,73.889908,2190,143,Cold,02-12-2025 16:31
90011,1033,18.569342,73.800943,2185,728,Hot,02-12-2025 22:54
90012,1465,18.576941,73.787486,2094,693,Rainy,02-12-2025 17:48
90013,1453,18.506286,73.924897,2034,1124,Cold,01-12-2025 12:35
90014,1460,18.583296,73.87347,2112,404,Clear,02-12-2025 18:04
90015,1446,18.540726,73.832757,2183,368,Rainy,02-12-2025 11:56
90016,1438,18.441812,73.793907,2113,1084,Hot,02-12-2025 21:32
90017,1180,18.456141,73.845299,2154,844,Cold,01-12-2025 17:49
90018,1341,18.46829,73.797122,2080,1026,Cold,01-12-2025 23:04
90019,1018,18.596426,73.871062,2117,314,Rainy,02-12-2025 21:37
90020,1063,18.445204,73.879243,2141,728,Clear,01-12-2025 14:46
90021,1246,18.517172,73.79617,2081,830,Cold,02-12-2025 03:34
90022,1174,18.455479,73.835817,2139,232,Clear,02-12-2025 05:47
90023,1288,18.441472,73.895709,2165,1143,Hot,01-12-2025 17:40
90024,1134,18.594783,73.920856,2065,1028,Hot,02-12-2025 23:19
90025,1416,18.569231,73.923386,2198,1127,Hot,02-12-2025 01:39
90026,1325,18.546871,73.885679,2076,800,Cold,02-12-2025 11:27
90027,1419,18.539374,73.863287,2114,911,Cold,01-12-2025 11:17
90028,1488,18.574625,73.905642,2123,1187,Rainy,02-12-2025 17:43
90029,1221,18.522426,73.920391,2044,1033,Clear,01-12-2025 08:14
90030,1093,18.559976,73.811676,2056,998,Cold,02-12-2025 14:02
90031,1126,18.523656,73.794579,2074,646,Clear,02-12-2025 05:34
90032,1149,18.580572,73.779189,2003,659,Clear,02-12-2025 10:42
90033,1014,18.485337,73.853445,2160,984,Hot,02-12-2025 17:10
90034,1487,18.527813,73.8326,2151,1001,Hot,02-12-2025 11:53
90035,1009,18.508421,73.849523,2147,1095,Cold,01-12-2025 10:49
90036,1225,18.54191,73.839255,2193,615,Hot,02-12-2025 12:12
90037,1315,18.597096,73.827749,2113,1087,Cold,01-12-2025 14:56
90038,1383,18.516412,73.87069,2153,714,Cold,01-12-2025 20:08
90039,1324,18.58507,73.791282,2157,1101,Cold,02-12-2025 09:59
90040,1308,18.498919,73.883388,2100,137,Hot,02-12-2025 11:23
90041,1174,18.455293,73.83633,2123,518,Hot,01-12-2025 18:23
90042,1328,18.502687,73.878501,2041,167,Rainy,02-12-2025 12:54
90043,1228,18.59367,73.840292,2095,790,Clear,01-12-2025 07:53
90044,1289,18.521029,73.839728,2133,965,Cold,02-12-2025 01:54
90045,1276,18.583327,73.88091,2057,264,Rainy,01-12-2025 09:47
90046,1471,18.469797,73.781184,2016,667,Clear,02-12-2025 05:49
90047,1225,18.541812,73.837926,2059,782,Cold,01-12-2025 13:00
90048,1374,18.495281,73.906183,2146,142,Rainy,02-12-2025 08:54
